INSEE_COM;DEP;IRIS;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19
2A004;2A;2A0040101;24.0;13310;19600;27880;0.74;0.292;71.4;64.3;3.5;3.6;29.9;6.5;8.1;1.4;4.7;2.0
2A004;2A;2A0040102;15.2;15490;20840;27010;0.55;0.25;67.2;60.5;2.3;4.4;35.0;6.4;7.1;1.3;4.2;1.6
2A004;2A;2A0040103;16.3;15860;23460;31200;0.65;0.312;78.1;67.5;2.4;8.2;25.4;10.6;5.5;0.8;3.5;1.2
2A004;2A;2A0040201;18.3;15340;22560;32330;0.75;0.333;77.5;61.5;2.2;13.8;26.0;13.1;5.2;0.7;3.1;1.4
2A004;2A;2A0040202;;17350;24690;36130;0.76;0.357;71.5;54.8;2.0;14.7;27.1;20.1;4.5;0.5;3.1;0.9
2A004;2A;2A0040203;;18770;26560;35940;0.65;0.298;78.1;64.1;2.2;11.8;29.8;13.1;3.5;0.8;1.9;0.8
2A004;2A;2A0040301;;20770;28550;37560;0.59;0.306;76.7;63.4;1.6;11.7;31.6;13.1;2.8;0.5;1.7;0.6
2A004;2A;2A0040302;9.7;19300;26520;35790;0.62;0.316;69.8;56.7;1.6;11.5;35.5;14.0;3.0;0.6;1.8;0.6
2A004;2A;2A0040401;9.1;19080;26770;37150;0.68;0.319;69.1;56.6;1.7;10.8;34.7;17.7;2.6;0.6;1.4;0.6
2A004;2A;2A0040402;8.7;20520;27930;38790;0.65;0.354;74.5;61.8;1.9;10.8;31.1;19.0;2.3;0.4;1.4;0.5
2A004;2A;2A0040501;15.8;14560;19500;25650;0.57;0.228;66.2;59.5;2.2;4.5;34.1;4.7;9.1;2.0;4.9;2.2
2A004;2A;2A0040502;;16720;22350;29620;0.58;0.234;82.0;75.4;2.0;4.6;23.0;6.1;5.0;2.0;2.2;0.8
2A004;2A;2A0040503;15.9;15370;21640;29980;0.68;0.318;74.7;64.6;2.5;7.6;29.3;10.9;5.8;1.7;2.8;1.3
2A004;2A;2A0040601;24.9;13270;17150;22670;0.55;0.216;67.6;63.0;3.0;1.6;27.6;4.5;12.0;2.9;6.3;2.8
2A004;2A;2A0040602;14.3;16020;21110;27410;0.54;0.247;72.4;64.7;2.5;5.2;29.4;7.7;6.5;1.4;3.7;1.4
2A004;2A;2A0040701;23.9;13270;17390;21960;0.5;0.223;57.6;52.4;2.9;2.3;31.2;5.0;17.1;2.6;10.5;4.0
2A004;2A;2A0040702;22.3;13480;18180;23660;0.56;0.229;70.9;65.2;3.3;2.4;26.3;3.9;11.8;2.8;6.1;2.9
2A004;2A;2A0040703;21.0;14030;18900;25010;0.58;0.244;68.1;61.6;2.8;3.7;29.3;5.6;11.0;2.5;6.0;2.5
2A004;2A;2A0040801;12.4;17260;23410;31350;0.6;0.293;72.4;63.4;2.6;6.4;30.8;12.0;4.6;1.0;2.6;1.0
2A004;2A;2A0040802;18.0;14630;20240;25770;0.55;0.245;69.9;62.1;2.5;5.3;29.5;6.5;8.9;1.9;5.0;2.0
2A004;2A;2A0040803;;18970;25060;32310;0.53;0.251;76.9;68.9;1.9;6.1;29.6;9.3;2.9;0.8;1.5;0.6
2A004;2A;2A0040901;;14310;19300;25710;0.59;0.228;86.7;77.8;3.0;5.9;15.1;3.9;9.5;3.0;4.4;2.1
2A004;2A;2A0040902;;17310;22210;28530;0.51;0.223;75.1;68.0;2.2;4.9;28.6;7.8;4.7;1.2;2.7;0.8
2A004;2A;2A0040903;22.6;13680;19670;26830;0.67;0.286;73.2;66.0;2.9;4.3;25.7;7.5;9.4;1.9;5.0;2.5
2A247;2A;2A2470101;23.5;13410;18490;25290;0.64;0.366;68.1;54.7;3.7;9.7;21.1;22.4;6.7;1.9;3.2;1.6
2A247;2A;2A2470102;22.7;13480;19060;25710;0.64;0.335;68.3;57.4;3.9;7.0;23.7;19.6;6.7;2.2;3.0;1.5
2A247;2A;2A2470201;24.8;13220;18360;25900;0.69;0.345;69.4;55.0;3.5;10.9;23.0;19.7;7.2;2.5;3.0;1.7
2A247;2A;2A2470202;16.5;15470;21370;28370;0.6;0.325;73.5;59.8;3.1;10.6;25.4;17.7;4.0;1.4;1.9;0.7
